Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,credit_limit_usage,avg_balance,trans_per_month,avg_amt_per_trans,tenure_category
45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.061224489795918366,0.9387755102040817,1.0769230769230769,27.238095238095237,3-4 Years
49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.10465116279069768,0.8953488372093024,0.75,39.121212121212125,3-4 Years
51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0,1.0,0.5555555555555556,94.35,2-3 Years
40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.7597343797162692,0.24026562028373075,0.5882352941176471,58.55,2-3 Years
40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.0,1.0,1.3333333333333333,29.142857142857142,1-2 Years
44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.3109725685785536,0.6890274314214464,0.6666666666666666,45.333333333333336,2-3 Years
51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,0.06559276857109746,0.9344072314289026,0.6739130434782609,42.903225806451616,3-4 Years
32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0480038513118531,0.9519961486881469,1.3333333333333333,42.72222222222222,2-3 Years
37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0.11260737294201861,0.8873926270579814,0.6666666666666666,56.25,2-3 Years
48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.14387439945092656,0.8561256005490734,0.8888888888888888,45.03125,2-3 Years
